Full Name;User;Email;Business;Business Area;Business Position;;;;
Abel Vaz;User1;email1.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;54323;;21,22;MI
Adelina Fagundes;User2;email2.test@provider.com;Polymers PP;Commercial;CommercialDirector;5432;;21,22;MI
Adelina Pontes;User3;email3.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;765;;21,22;MI
Adolfo Verissimo;User4;email4.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;8765;;21,22;MI
Adosindo Carvalheiro;User5;email5.test@provider.com;Polymers PE;Marketing;MarketingAnalyst;54633;;21;MI
Alarico Durán;User6;email6.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceLeader;57657;;21,22,27;MI
Alberto Barroso;User7;email7.test@provider.com;Polymers ;PerformanceManagement;PerformanceManagement;45653;;;
Alceste Tibiriçá;User8;email8.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;45;;21,22;MI
Aldo Castro;User9;email9.test@provider.com;Polymers PE;Commercial;CommercialDirector;645;;21,22;MI
Alicia Coello;User10;email10.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;675;;21,22;MI
Aline Rolim;User11;email11.test@provider.com;Polymers PE;Commercial;CommercialDirector;6456;;21,22;MI
Almeno Thomé;User12;email12.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;456;;21,22;MI
Almerinda Cunha;User13;email13.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;56;;21,22;MI
Alzira Lessa;User14;email14.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;8048;;21,22;MI
André Mendoça;User15;email15.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;45;;21,22;ME
Angélico Siqueira;User16;email16.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;4;;21,22;MI
Anna Pinto;User17;email17.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;6;;21,22;MI
António Álvarez;User18;email18.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;7;;21,22;ME
Antônia Guerrero;User19;email19.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;4;;21,22;MI
Antônio Parente;User20;email20.test@provider.com;Polymers PP;Marketing;MarketingLeader;65;;;
Arachane Lobo;User21;email21.test@provider.com;Polymers ;Marketing;Marketing&Strategy;74325;;;
Armando Espartero;User22;email22.test@provider.com;Polymers PE;Marketing;MarketingAnalyst;456;;21;MI
Aurélio Becerra;User23;email23.test@provider.com;Polymers QR;Commercial;CommercialAccountManager;65;;27;ME
Basilio Penha;;email24.test@provider.com;Polymers EP;CustomerService;CustomerServiceLeader;476546;;;
Belmifer Calheiros;User24;email25.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;4;;21,22;MI
Belmiro Regueira;User25;email26.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;64;;21,22;ME
Bento Quintana;User26;email27.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;46;;21,22;MI
Bernardete Acatauaçu;User27;email28.test@provider.com;Polymers PE;Marketing;MarketingAnalyst;4;;21;MI
Bernardino Sosa;User28;email29.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;56;;21,22;MI
Bernardino Travassos;User29;email30.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;4;;21,22;MI
Bernardo Coutinho;User30;email31.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;654;;21,22;MI
Branco Aleixo;User31;email32.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;6;;21,22;ME
Bruna Siebra;User32;email33.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;46;;21,22;MI
Brás Sarmento;;email34.test@provider.com;Polymers EP;Marketing;MarketingLeader;6546;;;
Bukake Barreiro;User34;email35.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;4564;;21,22;ME
Capitolino Varanda;User35;email36.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;646543;;21,22;MI
Carina Correia;User36;email37.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;6;;21,22;MI
Carla Jorge;User37;email38.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;25613;;21,22;MI
Carlota Varão;User38;email39.test@provider.com;Polymers QR;Commercial;CommercialDirector;645;;27;ME
Carminda Mattozo;User39;email40.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;6;;21,22;MI
Carolina Leiria;User40;email41.test@provider.com;Polymers PE;Marketing;MarketingAnalyst;654;;21;MI
Cid Bonilha;User41;email42.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;6;;21,22;MI
Claudemiro Marreiro;User42;email43.test@provider.com;Polymers PE;Marketing;MarketingLeader;456;;21;MI
Claudemiro Moura;;email44.test@provider.com;Polymers ;PerformanceManagement;PerformanceManagement;45;;;
Clóvis Aragão;User43;email45.test@provider.com;Polymers QR;Commercial;CommercialAccountManager;6;;27;ME
Clóvis Mederos;User44;email46.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;456;;21,22;MI
Clóvis Salgado;User45;email47.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;554;;21,22;MI
Cosperranho Cambezes;User46;email48.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;654;;21,22;ME
Cândida Sosa;User47;email49.test@provider.com;Polymers EP;Commercial;BusinessDirector;6;;21,22;ME
Dalila Vega;User48;email50.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;456;;21,22;MI
Damião Mendoça;User49;email51.test@provider.com;Polymers PP;Commercial;CommercialDirector;34;;21,22;MI
Dina Couto;User50;email52.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;6;;21,22;MI
Diogo Barbosa;User51;email53.test@provider.com;Polymers PP;CustomerService;CustomerServiceLeader;456;;21,22,27;MI
Diogo Guarabira;User52;email54.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;45;;21,22;ME
Donata Cortês;User53;email55.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;6;;21,22;MI
Edite Soares;User54;email56.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;3;;21,22;MI
Egas Reino;User55;email57.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;5;;21,22;MI
Elias Noronha;;email58.test@provider.com;Polymers PP;Marketing;MarketingAnalyst;65;;;
Eliseu Lobo;User56;email59.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;6;;21,22;ME
Elsa Imbassaí;User57;email60.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;5;;21,22;MI
Emanuel Freire;User58;email61.test@provider.com;Polymers QR;Commercial;CommercialAccountManager;6;;27;ME
Emiliano Esparteiro;User59;email62.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;56456;;21,22;MI
Emília Pirassununga;User60;email63.test@provider.com;Polymers QR;Commercial;CommercialAccountManager;45;;27;ME
Enia   Butantã;User61;email64.test@provider.com;Polymers ;CustomerService;CustomerServiceLeader;65;;21,22,27;MI
Enia   Freyre;User62;email65.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;46;;21,22;MI
Epifânia Barateiro;User63;email66.test@provider.com;Polymers QR;Marketing;MarketingLeader;45;;27;ME
Esperança Monsanto;User64;email67.test@provider.com;Polymers PE;Commercial;CommercialDirector;6;;21,22;MI
Estanislau Igrejas;User65;email68.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;456;;21,22;MI
Estanislau Vázquez;User66;email69.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;426;;21,22;MI
Eusébio Teixeira;User67;email70.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;54;;21,22;MI
Eva Dutra;User68;email71.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;653;;21,22;MI
Evangelista Caiado;User69;email72.test@provider.com;Polymers EP;Commercial;CommercialAccountManager;45;;21,22;ME
Faustino Camilo;User70;email73.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;64;;21,22;MI
Felicidade Veiga;User71;email74.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;654;;21,22;MI
Ferdinando Cesário;User72;email75.test@provider.com;Polymers PP;Commercial;CommercialAccountManager;45;;21,22;MI
Ferdinando Modesto;;email76.test@provider.com;Polymers PE;Marketing;MarketingAnalyst;6534;;;
Florinda Vellozo;User73;email77.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;26;;21,22;MI
Flávia Rico;User74;email78.test@provider.com;Polymers PE;Commercial;CommercialAccountManager;75;;21,22;MI
